ticker,revenue,checked_at
APTV,20658999296.0,2026-06-08 03:51:03.488256
APURU,,2026-06-08 03:51:03.488256
APUS,,2026-06-08 03:51:03.488256
APVO,,2026-06-08 03:51:03.488256
APWC,519937984.0,2026-06-08 03:51:03.488256
APXT,,2026-06-08 03:51:03.488256
APXTU,,2026-06-08 03:51:03.488256
APXTW,,2026-06-08 03:51:03.488256
APYX,55904000.0,2026-06-08 03:51:03.488256
AQB,,2026-06-08 03:51:03.488256
AQMS,,2026-06-08 03:51:03.488256
AQN,2533600000.0,2026-06-08 03:51:03.488256
AQNB,,2026-06-08 03:51:03.488256
AQST,50271000.0,2026-06-08 03:51:03.488256
AR,5625670144.0,2026-06-08 03:51:03.488256
ARAI,128175.0,2026-06-08 03:51:03.488256
ARAY,428571008.0,2026-06-08 03:51:03.488256
ARBB,197320000.0,2026-06-08 03:51:03.488256
ARBE,1447000.0,2026-06-08 03:51:03.488256
ARBEW,1447000.0,2026-06-08 03:51:03.488256
ARBK,15521000.0,2026-06-08 03:51:03.488256
ARCB,4041867008.0,2026-06-08 03:51:03.488256
ARCC,3083000064.0,2026-06-08 03:51:03.488256
ARCI,,2026-06-08 03:51:03.488256
ARCIU,,2026-06-08 03:51:03.488256
ARCIW,,2026-06-08 03:51:03.488256
ARCL,,2026-06-08 03:51:03.488256
ARCLR,,2026-06-08 03:51:03.488256
ARCLU,,2026-06-08 03:51:03.488256
ARCLW,,2026-06-08 03:51:03.488256
ARCO,4817630208.0,2026-06-08 03:51:03.488256
ARCT,54710000.0,2026-06-08 03:51:03.488256
ARDC,,2026-06-08 03:51:03.488256
ARDT,6428975104.0,2026-06-08 03:51:03.488256
ARDX,427679008.0,2026-06-08 03:51:03.488256
ARE,2930149120.0,2026-06-08 03:51:03.488256
AREC,,2026-06-08 03:51:03.488256
AREN,123419000.0,2026-06-08 03:51:03.488256
ARES,5909112832.0,2026-06-08 03:51:03.488256
ARES$B,,2026-06-08 03:51:03.488256
ARGX,4742469120.0,2026-06-08 03:51:03.488256
ARHS,1382125952.0,2026-06-08 03:51:03.488256
ARI,268475008.0,2026-06-08 03:51:03.488256
ARIS,1142615040.0,2026-06-08 03:51:03.488256
ARKO,6487640064.0,2026-06-08 03:51:03.488256
ARKR,158370000.0,2026-06-08 03:51:03.488256
ARL,50625000.0,2026-06-08 03:51:03.488256
